stock_name,share_price,share_quantity,dividend,earnings,date
BHP,35.21,5071530817,0.2581,19530000000,19/07/2007 16:00:00
BHP,35.88,5071530817,0.2581,19530000000,20/07/2007 16:00:00
BHP,35.77,5071530817,0.2581,19530000000,23/07/2007 16:00:00
BHP,36.24,5071530817,0.2581,19530000000,24/07/2007 16:00:00
BHP,35.56,5071530817,0.2581,19530000000,25/07/2007 16:00:00
BHP,34.85,5071530817,0.2581,19530000000,26/07/2007 16:00:00
BHP,33.61,5071530817,0.2581,19530000000,27/07/2007 16:00:00
BHP,34.38,5071530817,0.2581,19530000000,30/07/2007 16:00:00
BHP,34.57,5071530817,0.2581,19530000000,31/07/2007 16:00:00
BHP,33.6,5071530817,0.2581,19530000000,01/08/2007 16:00:00
BHP,33.87,5071530817,0.2581,19530000000,02/08/2007 16:00:00
BHP,34.28,5071530817,0.2581,19530000000,03/08/2007 16:00:00
BHP,33.55,5071530817,0.2581,19530000000,06/08/2007 16:00:00
BHP,33.45,5071530817,0.2581,19530000000,07/08/2007 16:00:00
BHP,34.29,5071530817,0.2581,19530000000,08/08/2007 16:00:00
BHP,34.26,5071530817,0.2581,19530000000,09/08/2007 16:00:00
BHP,32.39,5071530817,0.2581,19530000000,10/08/2007 16:00:00
BHP,32.84,5071530817,0.2581,19530000000,13/08/2007 16:00:00
BHP,32.76,5071530817,0.2581,19530000000,14/08/2007 16:00:00
BHP,31.02,5071530817,0.2581,19530000000,15/08/2007 16:00:00
BHP,30.84,5071530817,0.2581,19530000000,16/08/2007 16:00:00
BHP,30.31,5071530817,0.2581,19530000000,17/08/2007 16:00:00
BHP,32.61,5071530817,0.2581,19530000000,20/08/2007 16:00:00
BHP,33.17,5071530817,0.2581,19530000000,21/08/2007 16:00:00
BHP,33.08,5071530817,0.2581,19530000000,22/08/2007 16:00:00
BHP,35.23,5071530817,0.2581,19530000000,23/08/2007 16:00:00
BHP,34.2,5071530817,0.2581,19530000000,24/08/2007 16:00:00
BHP,35.11,5071530817,0.2581,19530000000,27/08/2007 16:00:00
BHP,35.05,5071530817,0.2581,19530000000,28/08/2007 16:00:00
BHP,34.63,5071530817,0.2581,19530000000,29/08/2007 16:00:00
BHP,35.28,5071530817,0.2581,19530000000,30/08/2007 16:00:00
BHP,35.9,5071530817,0.2581,19530000000,31/08/2007 16:00:00
BHP,36.04,5071530817,0.2581,19530000000,03/09/2007 16:00:00
BHP,36.05,5071530817,0.2581,19530000000,04/09/2007 16:00:00
BHP,35.92,5071530817,0.2581,19530000000,05/09/2007 16:00:00
BHP,36.35,5071530817,0.2581,19530000000,06/09/2007 16:00:00
BHP,37.14,5071530817,0.2581,19530000000,07/09/2007 16:00:00
BHP,35.79,5071530817,0.3363,19530000000,10/09/2007 16:00:00
BHP,35.91,5071530817,0.3363,19530000000,11/09/2007 16:00:00
BHP,35.98,5071530817,0.3363,19530000000,12/09/2007 16:00:00
BHP,36.12,5071530817,0.3363,19530000000,13/09/2007 16:00:00
BHP,36.82,5071530817,0.3363,19530000000,14/09/2007 16:00:00
BHP,36.28,5071530817,0.3363,19530000000,17/09/2007 16:00:00
BHP,36.12,5071530817,0.3363,19530000000,18/09/2007 16:00:00
BHP,37.79,5071530817,0.3363,19530000000,19/09/2007 16:00:00
BHP,38.32,5071530817,0.3363,19530000000,20/09/2007 16:00:00
BHP,38.31,5071530817,0.3363,19530000000,21/09/2007 16:00:00
BHP,40.31,5071530817,0.3363,19530000000,24/09/2007 16:00:00
BHP,41.68,5071530817,0.3363,19530000000,25/09/2007 16:00:00
BHP,40.33,5071530817,0.3363,19530000000,26/09/2007 16:00:00
BHP,40.67,5071530817,0.3363,19530000000,27/09/2007 16:00:00
BHP,41.63,5071530817,0.3363,19530000000,28/09/2007 16:00:00
BHP,41.58,5071530817,0.3363,19530000000,01/10/2007 16:00:00
BHP,43.03,5071530817,0.3363,19530000000,02/10/2007 16:00:00
BHP,42.24,5071530817,0.3363,19530000000,03/10/2007 16:00:00
BHP,40.88,5071530817,0.3363,19530000000,04/10/2007 16:00:00
BHP,41.21,5071530817,0.3363,19530000000,05/10/2007 16:00:00
BHP,41.76,5071530817,0.3363,19530000000,08/10/2007 16:00:00
BHP,41.49,5071530817,0.3363,19530000000,09/10/2007 16:00:00
BHP,42.52,5071530817,0.3363,19530000000,10/10/2007 16:00:00
BHP,43.02,5071530817,0.3363,19530000000,11/10/2007 16:00:00
BHP,43.17,5071530817,0.3363,19530000000,12/10/2007 16:00:00
BHP,43.45,5071530817,0.3363,19530000000,15/10/2007 16:00:00
BHP,43.38,5071530817,0.3363,19530000000,16/10/2007 16:00:00
BHP,43.26,5071530817,0.3363,19530000000,17/10/2007 16:00:00
BHP,44.57,5071530817,0.3363,19530000000,18/10/2007 16:00:00
BHP,44.01,5071530817,0.3363,19530000000,19/10/2007 16:00:00
BHP,42.91,5071530817,0.3363,19530000000,22/10/2007 16:00:00
BHP,42.98,5071530817,0.3363,19530000000,23/10/2007 16:00:00
BHP,42.8,5071530817,0.3363,19530000000,24/10/2007 16:00:00
BHP,41.81,5071530817,0.3363,19530000000,25/10/2007 16:00:00
BHP,42.76,5071530817,0.3363,19530000000,26/10/2007 16:00:00
BHP,44.2,5071530817,0.3363,19530000000,29/10/2007 16:00:00
BHP,43.81,5071530817,0.3363,19530000000,30/10/2007 16:00:00
BHP,43.08,5071530817,0.3363,19530000000,31/10/2007 16:00:00
BHP,43.83,5071530817,0.3363,19530000000,01/11/2007 16:00:00
BHP,42.05,5071530817,0.3363,19530000000,02/11/2007 16:00:00
BHP,40.84,5071530817,0.3363,19530000000,05/11/2007 16:00:00
BHP,41.26,5071530817,0.3363,19530000000,06/11/2007 16:00:00
BHP,41.92,5071530817,0.3363,19530000000,07/11/2007 16:00:00
BHP,40.41,5071530817,0.3363,19530000000,08/11/2007 16:00:00
BHP,39.69,5071530817,0.3363,19530000000,09/11/2007 16:00:00
BHP,38.97,5071530817,0.3363,19530000000,12/11/2007 16:00:00
BHP,39.06,5071530817,0.3363,19530000000,13/11/2007 16:00:00
BHP,39.43,5071530817,0.3363,19530000000,14/11/2007 16:00:00
BHP,38.45,5071530817,0.3363,19530000000,15/11/2007 16:00:00
BHP,38.45,5071530817,0.3363,19530000000,16/11/2007 16:00:00
BHP,38.86,5071530817,0.3363,19530000000,19/11/2007 16:00:00
BHP,37.66,5071530817,0.3363,19530000000,20/11/2007 16:00:00
BHP,38.36,5071530817,0.3363,19530000000,21/11/2007 16:00:00
BHP,37.79,5071530817,0.3363,19530000000,22/11/2007 16:00:00
BHP,37.63,5071530817,0.3363,19530000000,23/11/2007 16:00:00
BHP,39.35,5071530817,0.3363,19530000000,26/11/2007 16:00:00
BHP,39.2,5071530817,0.3363,19530000000,27/11/2007 16:00:00
BHP,38.59,5071530817,0.3363,19530000000,28/11/2007 16:00:00
BHP,39.25,5071530817,0.3363,19530000000,29/11/2007 16:00:00
BHP,40.16,5071530817,0.3363,19530000000,30/11/2007 16:00:00
BHP,40.37,5071530817,0.3363,19530000000,03/12/2007 16:00:00
BHP,40.27,5071530817,0.3363,19530000000,04/12/2007 16:00:00
BHP,39.9,5071530817,0.3363,19530000000,05/12/2007 16:00:00
BHP,40.54,5071530817,0.3363,19530000000,06/12/2007 16:00:00
BHP,40.65,5071530817,0.3363,19530000000,07/12/2007 16:00:00
BHP,40.73,5071530817,0.3363,19530000000,10/12/2007 16:00:00
BHP,41.3,5071530817,0.3363,19530000000,11/12/2007 16:00:00
BHP,40.37,5071530817,0.3363,19530000000,12/12/2007 16:00:00
BHP,40.42,5071530817,0.3363,19530000000,13/12/2007 16:00:00
BHP,39.29,5071530817,0.3363,19530000000,14/12/2007 16:00:00
BHP,37.72,5071530817,0.3363,19530000000,17/12/2007 16:00:00
BHP,37.47,5071530817,0.3363,19530000000,18/12/2007 16:00:00
BHP,37.42,5071530817,0.3363,19530000000,19/12/2007 16:00:00
BHP,36.91,5071530817,0.3363,19530000000,20/12/2007 16:00:00
BHP,37.05,5071530817,0.3363,19530000000,21/12/2007 16:00:00
BHP,37.86,5071530817,0.3363,19530000000,24/12/2007 16:00:00
BHP,38.41,5071530817,0.3363,19530000000,27/12/2007 16:00:00
BHP,37.85,5071530817,0.3363,19530000000,28/12/2007 16:00:00
BHP,37.51,5071530817,0.3363,19530000000,31/12/2007 16:00:00
BHP,37.66,5071530817,0.3363,24430000000,02/01/2008 16:00:00
BHP,37.47,5071530817,0.3363,24430000000,03/01/2008 16:00:00
BHP,38.17,5071530817,0.3363,24430000000,04/01/2008 16:00:00
BHP,37.4,5071530817,0.3363,24430000000,07/01/2008 16:00:00
BHP,36.44,5071530817,0.3363,24430000000,08/01/2008 16:00:00
BHP,36.63,5071530817,0.3363,24430000000,09/01/2008 16:00:00
BHP,36.53,5071530817,0.3363,24430000000,10/01/2008 16:00:00
BHP,35.79,5071530817,0.3363,24430000000,11/01/2008 16:00:00
BHP,35.73,5071530817,0.3363,24430000000,14/01/2008 16:00:00
BHP,36.17,5071530817,0.3363,24430000000,15/01/2008 16:00:00
BHP,35.06,5071530817,0.3363,24430000000,16/01/2008 16:00:00
BHP,34.11,5071530817,0.3363,24430000000,17/01/2008 16:00:00
BHP,32.52,5071530817,0.3363,24430000000,18/01/2008 16:00:00
BHP,31.11,5071530817,0.3363,24430000000,21/01/2008 16:00:00
BHP,28.97,5071530817,0.3363,24430000000,22/01/2008 16:00:00
BHP,31.67,5071530817,0.3363,24430000000,23/01/2008 16:00:00
BHP,32.54,5071530817,0.3363,24430000000,24/01/2008 16:00:00
BHP,34.39,5071530817,0.3363,24430000000,25/01/2008 16:00:00
BHP,33.36,5071530817,0.3363,24430000000,29/01/2008 16:00:00
BHP,33.74,5071530817,0.3363,24430000000,30/01/2008 16:00:00
BHP,34.62,5071530817,0.3363,24430000000,31/01/2008 16:00:00
BHP,36.02,5071530817,0.3363,24430000000,01/02/2008 16:00:00
BHP,36.74,5071530817,0.3363,24430000000,04/02/2008 16:00:00
BHP,37.05,5071530817,0.3363,24430000000,05/02/2008 16:00:00
BHP,34.26,5071530817,0.3363,24430000000,06/02/2008 16:00:00
BHP,34.5,5071530817,0.3363,24430000000,07/02/2008 16:00:00
BHP,33.77,5071530817,0.3363,24430000000,08/02/2008 16:00:00
BHP,33.5,5071530817,0.3363,24430000000,11/02/2008 16:00:00
BHP,34.49,5071530817,0.3363,24430000000,12/02/2008 16:00:00
BHP,34.9,5071530817,0.3363,24430000000,13/02/2008 16:00:00
BHP,36.47,5071530817,0.3363,24430000000,14/02/2008 16:00:00
BHP,36.71,5071530817,0.3363,24430000000,15/02/2008 16:00:00
BHP,36.41,5071530817,0.3363,24430000000,18/02/2008 16:00:00
BHP,37.1,5071530817,0.3363,24430000000,19/02/2008 16:00:00
BHP,36.15,5071530817,0.3363,24430000000,20/02/2008 16:00:00
BHP,36.44,5071530817,0.3363,24430000000,21/02/2008 16:00:00
BHP,37.13,5071530817,0.3363,24430000000,22/02/2008 16:00:00
BHP,36.49,5071530817,0.3194,24430000000,25/02/2008 16:00:00
BHP,36.21,5071530817,0.3194,24430000000,26/02/2008 16:00:00
BHP,37.24,5071530817,0.3194,24430000000,27/02/2008 16:00:00
BHP,37,5071530817,0.3194,24430000000,28/02/2008 16:00:00
BHP,36.99,5071530817,0.3194,24430000000,29/02/2008 16:00:00
BHP,36.06,5071530817,0.3194,24430000000,03/03/2008 16:00:00
BHP,36.13,5071530817,0.3194,24430000000,04/03/2008 16:00:00
BHP,36.47,5071530817,0.3194,24430000000,05/03/2008 16:00:00
BHP,37.19,5071530817,0.3194,24430000000,06/03/2008 16:00:00
BHP,36.33,5071530817,0.3194,24430000000,07/03/2008 16:00:00
BHP,34.85,5071530817,0.3194,24430000000,10/03/2008 16:00:00
BHP,33.26,5071530817,0.3194,24430000000,11/03/2008 16:00:00
BHP,34.39,5071530817,0.3194,24430000000,12/03/2008 16:00:00
BHP,33.99,5071530817,0.3194,24430000000,13/03/2008 16:00:00
BHP,35.43,5071530817,0.3194,24430000000,14/03/2008 16:00:00
BHP,35.04,5071530817,0.3194,24430000000,17/03/2008 16:00:00
BHP,33.36,5071530817,0.3194,24430000000,18/03/2008 16:00:00
BHP,34.53,5071530817,0.3194,24430000000,19/03/2008 16:00:00
BHP,31.65,5071530817,0.3194,24430000000,20/03/2008 16:00:00
BHP,32.15,5071530817,0.3194,24430000000,25/03/2008 16:00:00
BHP,33,5071530817,0.3194,24430000000,26/03/2008 16:00:00
BHP,33.42,5071530817,0.3194,24430000000,27/03/2008 16:00:00
BHP,33.69,5071530817,0.3194,24430000000,28/03/2008 16:00:00
BHP,33.46,5071530817,0.3194,24430000000,31/03/2008 16:00:00
BHP,34.25,5071530817,0.3194,24430000000,01/04/2008 16:00:00
BHP,34.34,5071530817,0.3194,24430000000,02/04/2008 16:00:00
BHP,35.59,5071530817,0.3194,24430000000,03/04/2008 16:00:00
BHP,36.07,5071530817,0.3194,24430000000,04/04/2008 16:00:00
BHP,37.89,5071530817,0.3194,24430000000,07/04/2008 16:00:00
BHP,37.75,5071530817,0.3194,24430000000,08/04/2008 16:00:00
BHP,39.16,5071530817,0.3194,24430000000,09/04/2008 16:00:00
BHP,39.25,5071530817,0.3194,24430000000,10/04/2008 16:00:00
BHP,39.4,5071530817,0.3194,24430000000,11/04/2008 16:00:00
BHP,38.92,5071530817,0.3194,24430000000,14/04/2008 16:00:00
BHP,39.25,5071530817,0.3194,24430000000,15/04/2008 16:00:00
BHP,39.99,5071530817,0.3194,24430000000,16/04/2008 16:00:00
BHP,40.55,5071530817,0.3194,24430000000,17/04/2008 16:00:00
BHP,39.64,5071530817,0.3194,24430000000,18/04/2008 16:00:00
BHP,41.11,5071530817,0.3194,24430000000,21/04/2008 16:00:00
BHP,40.67,5071530817,0.3194,24430000000,22/04/2008 16:00:00
BHP,42.14,5071530817,0.3194,24430000000,23/04/2008 16:00:00
BHP,41.96,5071530817,0.3194,24430000000,24/04/2008 16:00:00
BHP,40.74,5071530817,0.3194,24430000000,28/04/2008 16:00:00
BHP,41.01,5071530817,0.3194,24430000000,29/04/2008 16:00:00
